Wavenumber	NESR 15.67 cm-1
17.97255	2.34222E-09
18.14537	2.30500E-09
18.31818	2.26886E-09
18.49099	2.23386E-09
18.66381	2.20003E-09
18.83662	2.16738E-09
19.00943	2.13592E-09
19.18225	2.10567E-09
19.35506	2.07661E-09
19.52787	2.04874E-09
19.70068	2.02206E-09
19.87350	1.99654E-09
20.04631	1.97216E-09
20.21912	1.94891E-09
20.39194	1.92676E-09
20.56475	1.90569E-09
20.73756	1.88569E-09
20.91038	1.86671E-09
21.08319	1.84874E-09
21.25600	1.83174E-09
21.42881	1.81567E-09
21.60163	1.80054E-09
21.77444	1.78630E-09
21.94725	1.77293E-09
22.12007	1.76039E-09
22.29288	1.74866E-09
22.46569	1.73771E-09
22.63851	1.72752E-09
22.81132	1.71804E-09
22.98413	1.70928E-09
23.15695	1.70120E-09
23.32976	1.69376E-09
23.50257	1.68695E-09
23.67538	1.68075E-09
23.84820	1.67510E-09
24.02101	1.67002E-09
24.19382	1.66546E-09
24.36664	1.66139E-09
24.53945	1.65782E-09
24.71226	1.65469E-09
24.88508	1.65198E-09
25.05789	1.64969E-09
25.23070	1.64777E-09
25.40351	1.64621E-09
25.57633	1.64498E-09
25.74914	1.64407E-09
25.92195	1.64344E-09
26.09477	1.64309E-09
26.26758	1.64297E-09
26.44039	1.64307E-09
26.61321	1.64337E-09
26.78602	1.64384E-09
26.95883	1.64447E-09
27.13164	1.64523E-09
27.30446	1.64609E-09
27.47727	1.64705E-09
27.65008	1.64807E-09
27.82290	1.64914E-09
27.99571	1.65024E-09
28.16852	1.65134E-09
28.34134	1.65244E-09
28.51415	1.65351E-09
28.68696	1.65453E-09
28.85977	1.65550E-09
29.03259	1.65638E-09
29.20540	1.65718E-09
29.37821	1.65788E-09
29.55103	1.65846E-09
29.72384	1.65890E-09
29.89665	1.65922E-09
30.06947	1.65939E-09
30.24228	1.65940E-09
30.41509	1.65924E-09
30.58790	1.65892E-09
30.76072	1.65843E-09
30.93353	1.65777E-09
31.10634	1.65691E-09
31.27916	1.65589E-09
31.45197	1.65468E-09
31.62478	1.65329E-09
31.79760	1.65172E-09
31.97041	1.64998E-09
32.14322	1.64807E-09
32.31604	1.64599E-09
32.48885	1.64376E-09
32.66166	1.64136E-09
32.83447	1.63881E-09
33.00729	1.63613E-09
33.18010	1.63332E-09
33.35291	1.63038E-09
33.52573	1.62733E-09
33.69854	1.62417E-09
33.87135	1.62093E-09
34.04417	1.61760E-09
34.21698	1.61418E-09
34.38979	1.61072E-09
34.56260	1.60720E-09
34.73542	1.60363E-09
34.90823	1.60003E-09
35.08104	1.59641E-09
35.25386	1.59279E-09
35.42667	1.58916E-09
35.59948	1.58554E-09
35.77230	1.58194E-09
35.94511	1.57837E-09
36.11792	1.57484E-09
36.29073	1.57135E-09
36.46355	1.56792E-09
36.63636	1.56455E-09
36.80917	1.56125E-09
36.98199	1.55804E-09
37.15480	1.55490E-09
37.32761	1.55185E-09
37.50043	1.54890E-09
37.67324	1.54605E-09
37.84605	1.54330E-09
38.01886	1.54067E-09
38.19168	1.53815E-09
38.36449	1.53575E-09
38.53730	1.53346E-09
38.71012	1.53130E-09
38.88293	1.52926E-09
39.05574	1.52735E-09
39.22856	1.52556E-09
39.40137	1.52390E-09
39.57418	1.52237E-09
39.74699	1.52096E-09
39.91981	1.51968E-09
40.09262	1.51853E-09
40.26543	1.51749E-09
40.43825	1.51657E-09
40.61106	1.51577E-09
40.78387	1.51509E-09
40.95669	1.51452E-09
41.12950	1.51406E-09
41.30231	1.51370E-09
41.47513	1.51345E-09
41.64794	1.51329E-09
41.82075	1.51323E-09
41.99356	1.51325E-09
42.16638	1.51335E-09
42.33919	1.51353E-09
42.51200	1.51378E-09
42.68482	1.51410E-09
42.85763	1.51448E-09
43.03044	1.51491E-09
43.20326	1.51540E-09
43.37607	1.51592E-09
43.54888	1.51649E-09
43.72169	1.51708E-09
43.89451	1.51770E-09
44.06732	1.51834E-09
44.24013	1.51899E-09
44.41295	1.51966E-09
44.58576	1.52033E-09
44.75857	1.52099E-09
44.93139	1.52165E-09
45.10420	1.52230E-09
45.27701	1.52293E-09
45.44982	1.52353E-09
45.62264	1.52412E-09
45.79545	1.52467E-09
45.96826	1.52520E-09
46.14108	1.52568E-09
46.31389	1.52613E-09
46.48670	1.52653E-09
46.65952	1.52689E-09
46.83233	1.52720E-09
47.00514	1.52747E-09
47.17795	1.52767E-09
47.35077	1.52784E-09
47.52358	1.52795E-09
47.69639	1.52801E-09
47.86921	1.52801E-09
48.04202	1.52796E-09
48.21483	1.52786E-09
48.38765	1.52770E-09
48.56046	1.52749E-09
48.73327	1.52724E-09
48.90608	1.52695E-09
49.07890	1.52659E-09
49.25171	1.52621E-09
49.42452	1.52577E-09
49.59734	1.52530E-09
49.77015	1.52479E-09
49.94296	1.52425E-09
50.11578	1.52368E-09
50.28859	1.52307E-09
50.46140	1.52245E-09
50.63422	1.52180E-09
50.80703	1.52113E-09
50.97984	1.52045E-09
51.15265	1.51976E-09
51.32547	1.51906E-09
51.49828	1.51836E-09
51.67109	1.51765E-09
51.84391	1.51696E-09
52.01672	1.51625E-09
52.18953	1.51557E-09
52.36235	1.51490E-09
52.53516	1.51424E-09
52.70797	1.51360E-09
52.88078	1.51298E-09
53.05360	1.51239E-09
53.22641	1.51183E-09
53.39922	1.51129E-09
53.57204	1.51079E-09
53.74485	1.51031E-09
53.91766	1.50988E-09
54.09048	1.50948E-09
54.26329	1.50912E-09
54.43610	1.50880E-09
54.60891	1.50853E-09
