Wavenumber	NESR 15.67 cm-1
1019.53296	5.14600E-09
1019.65741	5.14272E-09
1019.78186	5.13826E-09
1019.90631	5.13264E-09
1020.03076	5.12586E-09
1020.15521	5.11795E-09
1020.27966	5.10894E-09
1020.40411	5.09885E-09
1020.52863	5.08772E-09
1020.65308	5.07558E-09
1020.77753	5.06248E-09
1020.90198	5.04845E-09
1021.02643	5.03355E-09
1021.15088	5.01782E-09
1021.27533	5.00131E-09
1021.39978	4.98406E-09
1021.52423	4.96613E-09
1021.64868	4.94756E-09
1021.77313	4.92839E-09
1021.89758	4.90870E-09
1022.02203	4.88849E-09
1022.14648	4.86784E-09
1022.27094	4.84677E-09
1022.39545	4.82533E-09
1022.51990	4.80355E-09
1022.64435	4.78149E-09
1022.76880	4.75916E-09
1022.89325	4.73660E-09
1023.01770	4.71384E-09
1023.14215	4.69091E-09
1023.26660	4.66783E-09
1023.39105	4.64462E-09
1023.51550	4.62133E-09
1023.63995	4.59796E-09
1023.76440	4.57453E-09
1023.88886	4.55105E-09
1024.01331	4.52757E-09
1024.13782	4.50406E-09
1024.26221	4.48058E-09
1024.38672	4.45711E-09
1024.51111	4.43367E-09
1024.63562	4.41027E-09
1024.76001	4.38692E-09
1024.88452	4.36363E-09
1025.00891	4.34041E-09
1025.13342	4.31726E-09
1025.25794	4.29419E-09
1025.38232	4.27120E-09
1025.50684	4.24831E-09
1025.63123	4.22552E-09
1025.75574	4.20282E-09
1025.88013	4.18024E-09
1026.00464	4.15777E-09
1026.12903	4.13540E-09
1026.25354	4.11315E-09
1026.37793	4.09102E-09
1026.50244	4.06901E-09
1026.62683	4.04712E-09
1026.75134	4.02536E-09
1026.87573	4.00372E-09
1027.00024	3.98221E-09
1027.12476	3.96082E-09
1027.24915	3.93957E-09
1027.37366	3.91845E-09
1027.49805	3.89747E-09
1027.62256	3.87662E-09
1027.74695	3.85590E-09
1027.87146	3.83533E-09
1027.99585	3.81488E-09
1028.12036	3.79458E-09
1028.24475	3.77441E-09
1028.36926	3.75437E-09
